iter	Passed	Remaining
638	26255	76464
639	26294	76419
640	26333	76371
641	26376	76334
642	26412	76279
643	26455	76245
644	26502	76221
645	26542	76175
646	26577	76116
647	26629	76106
648	26668	76059
649	26706	76010
650	26741	75951
651	26778	75899
652	26816	75850
653	26864	75827
654	26911	75803
655	26946	75745
656	26990	75712
657	27031	75670
658	27073	75631
659	27109	75578
660	27149	75532
661	27191	75494
662	27229	75446
663	27267	75395
664	27309	75357
665	27345	75301
666	27389	75268
667	27431	75231
668	27471	75186
669	27512	75145
670	27553	75103
671	27586	75041
672	27622	74985
673	27662	74943
674	27706	74909
675	27744	74860
676	27786	74823
677	27827	74782
678	27867	74736
679	27913	74710
680	27959	74681
681	27996	74629
682	28032	74574
683	28075	74538
684	28125	74522
685	28173	74498
686	28213	74456
687	28255	74416
688	28297	74379
689	28335	74330
690	28379	74295
691	28420	74254
692	28459	74208
693	28501	74168
694	28538	74117
695	28579	74077
696	28625	74049
697	28666	74006
698	28700	73948
699	28740	73902
700	28775	73847
701	28816	73805
702	28862	73778
703	28906	73745
704	28945	73698
705	28985	73653
706	29023	73605
707	29064	73564
708	29103	73517
709	29144	73477
710	29186	73438
711	29223	73387
712	29263	73343
713	29303	73300
714	29339	73244
715	29373	73188
716	29412	73141
717	29449	73090
718	29491	73051
719	29527	72997
720	29566	72951
721	29604	72904
722	29650	72874
723	29694	72840
724	29735	72800
725	29781	72772
726	29826	72740
727	29862	72687
728	29905	72650
729	29944	72606
730	29981	72553
731	30021	72510
732	30056	72455
733	30092	72401
734	30130	72354
735	30168	72307
736	30207	72259
737	30244	72210
738	30288	72175
739	30330	72137
740	30378	72111
741	30422	72079
742	30459	72028
743	30494	71973
744	30533	71926
745	30572	71881
746	30614	71842
747	30659	71810
748	30694	71756
749	30736	71717
750	30777	71677
751	30817	71634
752	30855	71587
753	30894	71541
754	30938	71506
755	30982	71472
756	31017	71418
757	31056	71373
758	31096	71330
759	31140	71295
760	31176	71244
761	31215	71198
762	31249	71140
763	31289	71097
764	31330	71057
765	31363	70998
766	31405	70958
767	31453	70933
768	31493	70891
769	31533	70848
770	31571	70801
771	31609	70753
772	31643	70696
773	31689	70666
774	31734	70634
775	31774	70592
776	31817	70555
777	31856	70509
778	31894	70463
779	31934	70418
780	31976	70381
781	32014	70332
782	32053	70289
783	32097	70254
784	32142	70222
785	32182	70179
786	32215	70120
787	32258	70084
788	32300	70045
789	32337	69995
790	32377	69954
791	32419	69913
792	32462	69878
793	32501	69833
794	32536	69779
795	32587	69759
796	32627	69717
797	32669	69678
798	32711	69640
799	32749	69592
800	32794	69559
801	32828	69505
802	32868	69461
803	32906	69415
804	32945	69370
805	32988	69332
806	33033	69301
807	33075	69261
808	33119	69226
809	33162	69190
810	33199	69142
811	33242	69105
812	33286	69070
813	33330	69034
814	33381	69016
815	33427	68984
816	33467	68942
817	33510	68905
818	33552	68866
819	33595	68828
820	33630	68776
821	33671	68736
822	33715	68701
823	33748	68643
824	33789	68602
825	33827	68556
826	33868	68514
827	33904	68464
828	33953	68440
